,name,value
122,Colombia,0.103761195
123,Costa Rica,0.078109721
124,El Salvador,0.061349089
125,Guatemala,0.071715379
126,Honduras,0.090313692
127,Mexico,0.095427931
128,Nicaragua,0.088132887
129,Panama,0.035222626
130,Venezuela,0.132991482
131,Tropical Latin America,0.10568303
132,Brazil,0.105892662
133,Paraguay,0.098660239
134,North Africa and Middle East,0.134666612
135,North Africa and Middle East,0.134666612
136,Algeria,0.102642603
137,Bahrain,0.109926618
138,Egypt,0.160255006
139,Iran,0.106595472
140,Iraq,0.120374154
141,Jordan,0.185494755
142,Kuwait,0.179500412
143,Lebanon,0.222480894
144,Libya,0.130457678
145,Morocco,0.083012767
146,Palestine,0.150931782
147,Oman,0.082341234
148,Qatar,0.121635466
149,Saudi Arabia,0.133418248
150,Syria,0.124595792
151,Tunisia,0.198997127
152,Turkey,0.229087578
153,United Arab Emirates,0.110121659
154,Yemen,0.107995573
155,South Asia,0.109224888
156,South Asia,0.109224888
157,Afghanistan,0.131362781
158,Bangladesh,0.192719539
159,Bhutan,0.06609916
160,India,0.098301231
161,Nepal,0.166918787
162,Pakistan,0.104501609
163,Sub-Saharan Africa,0.057826972
164,Central Sub-Saharan Africa,0.063687754
165,Angola,0.066699644
166,Central African Republic,0.058329049
167,Congo,0.055174662
168,Democratic Republic of the Congo,0.063332475
169,Equatorial Guinea,0.048797764
170,Gabon,0.082923103
171,Eastern Sub-Saharan Africa,0.056948923
172,Burundi,0.046605827
173,Comoros,0.072070812
174,Djibouti,0.114163076
175,Eritrea,0.051142356
176,Ethiopia,0.03070221
177,Kenya,0.067198109
178,Madagascar,0.092249446
179,Malawi,0.061206678
180,Mauritius,0.157764678
181,Mozambique,0.078304814
182,Rwanda,0.062865959
183,Seychelles,0.151171885
184,Somalia,0.060279856
185,Tanzania,0.069095329
186,Uganda,0.051901452
187,Zambia,0.064653622
188,Southern Sub-Saharan Africa,0.131492703
189,Botswana,0.110874615
190,Lesotho,0.131934282
191,Namibia,0.104237233
192,South Africa,0.146175874
193,Swaziland,0.046783691
194,Zimbabwe,0.088152021
195,Western Sub-Saharan Africa,0.040299517
196,Benin,0.041068766
197,Burkina Faso,0.074512059
198,Cameroon,0.044044226
199,Cape Verde,0.05570539
200,Chad,0.051904909
201,Cote d'Ivoire,0.073010844
202,The Gambia,0.088678107
203,Ghana,0.025038022
204,Guinea,0.037697337
205,Guinea-Bissau,0.058315963
206,Liberia,0.045399076
207,Mali,0.049477151
208,Mauritania,0.08541682
209,Niger,0.039727056
210,Nigeria,0.028506397
211,Sao Tome and Principe,0.028736405
212,Senegal,0.04417385
213,Sierra Leone,0.108998136
214,Togo,0.039303457
215,American Samoa,0.19831259
216,Bermuda,0.089865006
217,Greenland,0.456206133
218,Guam,0.184420951
219,Northern Mariana Islands,0.397001378
220,Puerto Rico,0.088160646
221,"Virgin Islands, U.S.",0.041443235
222,Northern Ireland,0.206467096
223,Scotland,0.20259244
224,South Sudan,0.064015207
225,Sudan,0.010016322
226,Wales,0.206255831
227,England,0.177046367
228,High-middle SDI,0.170347361
229,High SDI,0.184605953
230,Low-middle SDI,0.096554339
231,Low SDI,0.059958497
232,Middle SDI,0.169508155
